goal,element,po_water,hd_mpa_coast,hd_mpa_eez,hd_habitat,fp_mpa_coast,fp_mpa_eez,fp_habitat,fp_mora,fp_mora_artisanal,g_tourism,g_mariculture,g_cites,species_diversity_3nm,species_diversity_eez,wgi_all,res_spi,li_gci,li_sector_evenness,res_biodiversity,res_reg_bsap,res_reg_cfp,res_reg_cop21,res_reg_msfd,res_reg_wfd,res_reg_birds,res_reg_hd,res_reg_helcom,res_reg_mspd,res_reg_reach
CP,coral,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,mangrove,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,saltmarsh,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,seagrass,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,seaice_shoreline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS,mangrove,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS,saltmarsh,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS,seagrass,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,coral,x,x,NA,x,x,NA,x,NA,x,x,x,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,mangrove,NA,x,NA,x,NA,NA,NA,NA,NA,x,x,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,saltmarsh,x,x,NA,x,NA,NA,NA,NA,NA,x,x,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,seagrass,x,x,NA,x,NA,NA,NA,NA,NA,x,x,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,seaice_edge,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAB,soft_bottom,x,NA,x,x,NA,x,x,x,NA,x,x,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICO,NA,x,NA,x,x,NA,x,x,x,x,NA,NA,x,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPP,NA,x,NA,x,x,NA,x,x,x,x,x,x,x,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSP,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP,corals,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,x,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
