layer,category,subcategory
po_chemicals,ecological,pollution
po_chemicals_3nm,ecological,pollution
po_pathogens,ecological,pollution
po_nutrients,ecological,pollution
po_nutrients_3nm,ecological,pollution
sp_alien,ecological,alien_species
sp_genetic,ecological,alien_species
hd_subtidal_sb,ecological,habitat_destruction
hd_subtidal_hb,ecological,habitat_destruction
hd_intertidal,ecological,habitat_destruction
fp_com_hb,ecological,fishing_pressure
fp_com_lb,ecological,fishing_pressure
fp_art_lb,ecological,fishing_pressure
fp_art_hb,ecological,fishing_pressure
fp_targetharvest,ecological,fishing_pressure
cc_acid,ecological,climate_change
cc_uv,ecological,climate_change
cc_slr,ecological,climate_change
ss_spi,social,social
sp_invasives,ecological,alien_species
cc_sal_surf,ecological,climate_change
cc_sal_deep,ecological,climate_change
cc_sst,ecological,climate_change
hab_anoxia,ecological,habitat_destruction
hab_illegal_oil,ecological,habitat_destruction
hab_bottom_trawl,ecological,habitat_destruction
po_nload,ecological,pollution
po_atmos_pcb153,ecological,pollution
po_pload,ecological,pollution
po_inverse_secchi,ecological,pollution
po_trash,ecological,pollution
ss_wgi,social,social
fp_over_harvest,ecological,fishing_pressure
