layer,category,category_type,subcategory,weight
species_diversity_eez,ecological,ecosystem,ecological,1
species_diversity_3nm,ecological,ecosystem,ecological,1
sp_alien_species,ecological,regulatory,alien_species,1
g_cites,ecological,regulatory,goal,0.5
fp_mpa_coast,ecological,regulatory,fishing_pressure,1
fp_mpa_eez,ecological,regulatory,fishing_pressure,1
fp_habitat,ecological,regulatory,fishing_pressure,1
fp_mora,ecological,regulatory,fishing_pressure,1
fp_mora_artisanal,ecological,regulatory,fishing_pressure,1
hd_habitat,ecological,regulatory,habitat_destruction,1
hd_mpa_coast,ecological,regulatory,habitat_destruction,1
hd_mpa_eez,ecological,regulatory,habitat_destruction,1
g_mariculture,ecological,regulatory,goal,1
g_msi_gov,ecological,regulatory,goal,1
g_tourism,ecological,regulatory,goal,1
po_water,ecological,regulatory,pollution,1
li_gci,social,social,social,1
li_sector_evenness,social,social,social,1
res_spi,social,social,social,1
res_biodiversity,ecological,ecosystem,ecological,1
res_reg_birds,ecological,regulatory,goal,2
res_reg_bsap,ecological,regulatory,goal,1
res_reg_bwd,ecological,regulatory,pollution,2
res_reg_cbd,ecological,regulatory,goal,1
res_reg_cfp,ecological,regulatory,fishing_pressure,1
res_reg_cites,ecological,regulatory,goal,1
res_reg_cop21,ecological,regulatory,goal,1
res_reg_hd,ecological,regulatory,habitat_destruction,2
res_reg_helcom,ecological,regulatory,goal,1
res_reg_ied,ecological,regulatory,pollution,1
res_reg_msfd,ecological,regulatory,goal,1
res_reg_mspd,ecological,regulatory,goal,1
res_reg_nd,ecological,regulatory,pollution,1
res_reg_nec,ecological,regulatory,pollution,1
res_reg_pop,ecological,regulatory,pollution,2
res_reg_reach,ecological,regulatory,pollution,1
res_reg_uwwtd,ecological,regulatory,pollution,2
res_reg_wfd,ecological,regulatory,goal,2
wgi_all,social,social,social,1
