order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,13,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Fisheries,Fisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
1.3,1.2,2,MAR,FP,Mariculture,Mariculture,This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.,0.5,MAR(layers),
2,2,3,AO,,Artisanal Fishing Opportunity,Artisanal Fishing\nOpportunities,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,AO(layers),
3,3,18,NP,,Natural Products,Natural Products,This goal model calculates overall status by weighting the status of sustainable harvest of each product by its proportional value relative to other harvested products.,1,NP(layers),
4,4,4,CS,,Carbon Storage,Carbon Storage,This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.,1,CS(layers),
6,6,5,TR,,Tourism & Recreation,Tourism & \nRecreation,This goal captures the value people have for experiencing and taking pleasure in coastal areas.,1,TR(layers),
7.2,7,14,LE,,Coastal Livelihoods & Economies,Coastal Livelihoods & Economies,This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,,"LE(scores, layers)"
7.1,7.1,6,LIV,LE,Livelihoods,Livelihoods,This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.,0.5,LIV(layers),
7.3,7.2,7,ECO,LE,Economies,Economies,This subgoal captures the economic value associated with marine industries.,0.5,ECO(layers),
8.2,8,15,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
8.1,8.1,8,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
8.3,8.2,9,LSP,SP,Lasting Special Places,Lasting\nSpecial\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
9.2,9,16,CW,,Clean Waters,Clean Waters,"This goal captures the degree to which waters are polluted by nutrients, contaminants and litter.",1,,CW(scores)
9.1,9.1,10,EUT,CW,Eutrophication,Eutrophi-\ncation,This subgoal captures the degree to which waters are polluted by nutrients.,0.33,EUT(layers),
9.3,9.2,11,TRA,CW,Trash,Trash,This goal captures the degree to which waters are polluted by litter.,0.33,TRA(layers),
9.4,9.3,12,CON,CW,Contaminants,Contami-\nnants,This goal captures the degree to which waters are polluted by contaminants.,0.33,CON(layers),
10,10,17,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,BD(layers),
