region_id,year,scientific_name,species_group,red_list_category
1,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
1,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
1,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
1,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
1,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
1,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
1,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
1,2013,Halichoerus grypus,Mammals,LC - Least Concern
1,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
1,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
1,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
1,2013,Haliaeetus albicilla,Birds,LC - Least Concern
1,2013,Somateria mollissima,Birds,VU - Vulnerable
2,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
2,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
2,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
2,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
2,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
2,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
2,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
2,2013,Halichoerus grypus,Mammals,LC - Least Concern
2,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
2,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
2,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
2,2013,Haliaeetus albicilla,Birds,LC - Least Concern
2,2013,Somateria mollissima,Birds,VU - Vulnerable
3,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
3,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
3,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
3,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
3,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
3,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
3,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
3,2013,Halichoerus grypus,Mammals,LC - Least Concern
3,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
3,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
3,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
3,2013,Haliaeetus albicilla,Birds,LC - Least Concern
3,2013,Somateria mollissima,Birds,VU - Vulnerable
4,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
4,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
4,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
4,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
4,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
4,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
4,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
4,2013,Halichoerus grypus,Mammals,LC - Least Concern
4,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
4,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
4,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
4,2013,Haliaeetus albicilla,Birds,LC - Least Concern
4,2013,Somateria mollissima,Birds,VU - Vulnerable
5,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
5,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
5,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
5,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
5,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
5,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
5,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
5,2013,Halichoerus grypus,Mammals,LC - Least Concern
5,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
5,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
5,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
5,2013,Haliaeetus albicilla,Birds,LC - Least Concern
5,2013,Somateria mollissima,Birds,VU - Vulnerable
6,2007,Gadus morhua,Fish and Lamprey,EN - Endangered
6,2013,Gadus morhua,Fish and Lamprey,VU - Vulnerable
6,2013,Platichthys flesus,Fish and Lamprey,LC - Least Concern
6,2007,Platichthys flesus,Fish and Lamprey,LC - Least Concern
6,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
6,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
6,2013,Sprattus sprattus,Fish and Lamprey,LC - Least Concern
6,2013,Halichoerus grypus,Mammals,LC - Least Concern
6,2013,Phoca vitulina vitulina,Mammals,LC - Least Concern
6,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
6,2013,Phocoena phocoena (Western Baltic Sea subpopulation),Mammals,VU - Vulnerable
6,2013,Haliaeetus albicilla,Birds,LC - Least Concern
